name,diet,period,lived_in,type,length,taxonomy,named_by,species,link,image
nomingia,omnivorous,Late Cretaceous 72-68 million years ago,Mongolia,small theropod,1.6m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Caenagnathidae,Barsbold Osmólska Watabe Currie and Tsogtbaatar (2000),gobiensis,https://www.nhm.ac.uk/discover/dino-directory/nomingia.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Nomingia.jpg
nothronychus,omnivorous,Late Cretaceous 94-89 million years ago,USA,large theropod,5.3m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,Kirkland and Wolfe (2001),mckinleyi,https://www.nhm.ac.uk/discover/dino-directory/nothronychus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Nothronychus.jpg
nqwebasaurus,carnivorous,Mid Jurassic 159-132 million years ago,South Africa,small theropod,1.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,de Klerk Forster Sampson Chinsamy and Ross (2000),thwazi,https://www.nhm.ac.uk/discover/dino-directory/nqwebasaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Nqwebasaurus.jpg
omeisaurus,herbivorous,Mid Jurassic 169-159 million years ago,China,sauropod,20.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,Young (1939),junghsiensis,https://www.nhm.ac.uk/discover/dino-directory/omeisaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Omeisaurus.jpg
opisthocoelicaudia,herbivorous,Late Cretaceous 72-68 million years ago,Mongolia,sauropod,12.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae,Borsuk-Bialynicka  (1977),skarzynskii ,https://www.nhm.ac.uk/discover/dino-directory/opisthocoelicaudia.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Opisthocoelicaudia.jpg
ornitholestes,carnivorous,Late Jurassic 150-144 million years ago,USA,small theropod,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,Osbourne (1933),hermanni,https://www.nhm.ac.uk/discover/dino-directory/ornitholestes.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/ornithol.jpg
ornithomimus,omnivorous,Late Cretaceous 74-65 million years ago,USA,large theropod,4.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,Marsh (1890),velox,https://www.nhm.ac.uk/discover/dino-directory/ornithomimus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/ornithom.jpg
orodromeus,herbivorous,Late Cretaceous 74 million years ago,USA,euornithopod,2.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Horner and Weishampel (1988),makelai,https://www.nhm.ac.uk/discover/dino-directory/orodromeus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/orodro.jpg
oryctodromeus,herbivorous,Late Cretaceous 99-94 million years ago,USA,euornithopod,2.1m,Dinosauria Ornithischia,Varricchio Marin and Katsura (2007),cubicularis,https://www.nhm.ac.uk/discover/dino-directory/oryctodromeus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/oryctodromeus.jpg
othnielia,herbivorous,Late Jurassic 154-142 million years ago,USA,euornithopod,1.4m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Marsh (1877),rex,https://www.nhm.ac.uk/discover/dino-directory/othnielia.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Othnielia.jpg
ouranosaurus,herbivorous,Early Cretaceous 115-100 million years ago,Niger,euornithopod,7.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Taquet (1976),nigeriensis,https://www.nhm.ac.uk/discover/dino-directory/ouranosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/ourano.jpg
oviraptor,omnivorous,Late Cretaceous 85-75 million years ago,Mongolia,small theropod,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Oviraptorinae,Osborn (1924),philoceratops,https://www.nhm.ac.uk/discover/dino-directory/oviraptor.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/oviraps.jpg
pachycephalosaurus,herbivorous,Late Cretaceous 76-65 million years ago,USA,euornithopod,8.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,Brown and Schlaikjer (1943),wyomingensis,https://www.nhm.ac.uk/discover/dino-directory/pachycephalosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/pachycephalosaurus.jpg
pachyrhinosaurus,herbivorous,Late Cretaceous 76-74 million years ago,Canada,ceratopsian,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,Sternberg (1950),canadensis,https://www.nhm.ac.uk/discover/dino-directory/pachyrhinosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/pachyr.jpg
panoplosaurus,herbivorous,Late Cretaceous 79-75 million years ago,USA,armoured dinosaur,7.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,Lambe (1919),mirus,https://www.nhm.ac.uk/discover/dino-directory/panoplosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Panoplosaurus.jpg
pantydraco,herbivorous,Early Jurassic,Wales,euornithopod,3.0m,Dinosauria Saurischia,Galton Yates and Kermack 2007 (2003),caducus,https://www.nhm.ac.uk/discover/dino-directory/pantydraco.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/pantydraco.jpg
paralititan,herbivorous,Late Cretaceous 99-94 million years ago,Egypt,sauropod,28.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,Smith Lamanna Lacovara Dodson Smith Poole Giegengack and Attia (2001),stromeri,https://www.nhm.ac.uk/discover/dino-directory/paralititan.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Paralititan.jpg
parasaurolophus,herbivorous,Late Cretaceous 76-74 million years ago,USA,euornithopod,11.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,Parks (1922),walkeri,https://www.nhm.ac.uk/discover/dino-directory/parasaurolophus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/parasaurolophus.jpg
parksosaurus,herbivorous,Late Cretaceous 76-74 million years ago,Canada,euornithopod,3.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Sternberg (1937),warrenae,https://www.nhm.ac.uk/discover/dino-directory/parksosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/parkso.jpg
patagosaurus,herbivorous,Mid Jurassic 164-159 million years ago,Argentina,sauropod,18.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Cetiosauridae,Bonaparte (1979),fariasi,https://www.nhm.ac.uk/discover/dino-directory/patagosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Patagosaurus.jpg
pelicanimimus,carnivorous,Early Cretaceous 127-121 million years ago,Spain,small theropod,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria,Pérez-Moreno Sanz Buscalioni Moratalla Ortega and Rasskin-Gutman (1994),polyodon,https://www.nhm.ac.uk/discover/dino-directory/pelicanimimus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Pelicanimimus.jpg
pelorosaurus,herbivorous,Early Cretaceous 125 million years ago,United Kingdom,sauropod,25.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes,Mantell (1850),conybearei,https://www.nhm.ac.uk/discover/dino-directory/pelorosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/pelo.jpg
pentaceratops,herbivorous,Late Cretaceous 76-74 million years ago,USA,ceratopsian,6.8m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,Osborn (1923),sternbergi,https://www.nhm.ac.uk/discover/dino-directory/pentaceratops.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Pentaceratops.jpg
piatnitzkysaurus,carnivorous,Late Jurassic 164-159 million years ago,Argentina,large theropod,4.2m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae,Bonaparte (1979),floresi,https://www.nhm.ac.uk/discover/dino-directory/piatnitzkysaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Piatnitzkysaurus.jpg
pinacosaurus,herbivorous,Late Cretaceous 81-75 million years ago,Mongolia,armoured dinosaur,5.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Gilmore (1933),grangeri,https://www.nhm.ac.uk/discover/dino-directory/pinacosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Pinacosaurus.jpg
plateosaurus,herbivorous,Late Triassic 210 million years ago,Switzerland,sauropod,7.0m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,Meyer (1837),engelhardti,https://www.nhm.ac.uk/discover/dino-directory/plateosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/plateo.jpg
podokesaurus,carnivorous,Mid Jurassic 195-180 million years ago,USA,small theropod,0.9m,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea,Talbot (1911),holyokensis,https://www.nhm.ac.uk/discover/dino-directory/podokesaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Podokesaurus.jpg
poekilopleuron,carnivorous,Mid Jurassic 169-164 million years ago,France,large theropod,9.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Megalosaurinae,Eudes-Deslongchamps (1838),bucklandii,https://www.nhm.ac.uk/discover/dino-directory/poekilopleuron.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Poekilopleuron.jpg
polacanthus,herbivorous,Early Cretaceous 125 million years ago,United Kingdom,armoured dinosaur,5.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,Hulke (1881),foxii,https://www.nhm.ac.uk/discover/dino-directory/polacanthus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/polac.jpg
prenocephale,herbivorous,Late Cretaceous 80-65 million years ago,Mongolia,euornithopod,2.4m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,Maryańska and Osmólska (1974),prenes,https://www.nhm.ac.uk/discover/dino-directory/prenocephale.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Prenocephale.jpg
probactrosaurus,herbivorous,Early Cretaceous 121-99 million years ago,China,euornithopod,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Rozhdestvensky (1966),gobiensis,https://www.nhm.ac.uk/discover/dino-directory/probactrosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Probactrosaurus.jpg
proceratosaurus,carnivorous,Mid Jurassic 169-164 million years ago,United Kingdom,small theropod,4.1m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,Woodward (1910),bradleyi,https://www.nhm.ac.uk/discover/dino-directory/proceratosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Proceratosaurus.jpg
procompsognathus,carnivorous,Late Triassic 221-210 million years ago,Germany,small theropod,1.0m,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea,Fraas (1913),triassicus,https://www.nhm.ac.uk/discover/dino-directory/procompsognathus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Procompsognathus.jpg
prosaurolophus,herbivorous,Late Cretaceous 77-75 million years ago,USA,euornithopod,7.6m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Brown (1916),maximus,https://www.nhm.ac.uk/discover/dino-directory/prosaurolophus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Prosaurolophus.jpg
protarchaeopteryx,carnivorous,Early Cretaceous 122-120 million years ago,China,small theropod,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora,Ji and Ji (1997),robusta,https://www.nhm.ac.uk/discover/dino-directory/protarchaeopteryx.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Protarchaeopteryx.jpg
protoceratops,herbivorous,Late Cretaceous 74-70 million years ago,Mongolia,ceratopsian,1.8m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria,Granger and Gregory (1923),andrewsi,https://www.nhm.ac.uk/discover/dino-directory/protoceratops.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/proto.jpg
protohadros,herbivorous,Late Cretaceous 99-94 million years ago,USA,euornithopod,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Head (1998),byrdi,https://www.nhm.ac.uk/discover/dino-directory/protohadros.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Protohadros.jpg
psittacosaurus,herbivorous,Early Cretaceous 120-100 million years ago,Russia,ceratopsian,2.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Psittacosauridae,Osborn (1923),mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/psittacosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/psittaco.jpg
quaesitosaurus,herbivorous,Late Cretaceous 86-84 million years ago,Mongolia,sauropod,23.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Nemegtosauridae,Kurzanov and Bannikov (1983),orientalis,https://www.nhm.ac.uk/discover/dino-directory/quaesitosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Quaesitosaurus.jpg
rebbachisaurus,herbivorous,Early Cretaceous 112-99 million years ago,Morocco,sauropod,20.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Rebbachisauridae,Lavocat (1954),garasbae,https://www.nhm.ac.uk/discover/dino-directory/rebbachisaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Rebbachisaurus.jpg
rhabdodon,herbivorous,Late Cretaceous 76-70 million years ago,Spain,euornithopod,4.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Rhabdodontidae,Matherton (1869),priscus,https://www.nhm.ac.uk/discover/dino-directory/rhabdodon.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/rhab.jpg
rhoetosaurus,herbivorous,Mid Jurassic 177-169 million years ago,Australia,sauropod,15.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda,Longman (1926),brownei,https://www.nhm.ac.uk/discover/dino-directory/rhoetosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Rhoetosaurus.jpg
rinchenia,omnivorous,Late Cretaceous 72-68 million years ago,Mongolia,small theropod,2.5m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Oviraptorinae,Barsbold (1986),mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/rinchenia.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Rinchenia.jpg
riojasaurus,herbivorous/omnivorous,Late Triassic 221-210 million years ago,Argentina,sauropod,5.15m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Melanorosauridae,Bonaparte (1969),incertus,https://www.nhm.ac.uk/discover/dino-directory/riojasaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Riojasaurus.jpg
rugops,carnivorous,Late Cretaceous 95 million years ago,Niger,large theropod,7.0m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae,Sereno Wilson and Conrad (2004),primus,https://www.nhm.ac.uk/discover/dino-directory/rugops.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Rugops.jpg
saichania,herbivorous,Late Cretaceous 80 million years ago,Mongolia,armoured dinosaur,6.6m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Maryañska (1977),chulsanensis,https://www.nhm.ac.uk/discover/dino-directory/saichania.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/saich.jpg
saltasaurus,herbivorous,Late Cretaceous 70-65 million years ago,Argentina,sauropod,12.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae,Bonaparte and Powell (1980),loricatus,https://www.nhm.ac.uk/discover/dino-directory/saltasaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/salta.jpg
saltopus,carnivorous,Late Triassic 221-210 million years ago,United Kingdom,small theropod,,Dinosauria,Huene (1910),elginensis,https://www.nhm.ac.uk/discover/dino-directory/saltopus.html,
sarcosaurus,carnivorous,Early Jurassic 202-195 million years ago,United Kingdom,small theropod,3.0m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria,Andrews (1921),woodi,https://www.nhm.ac.uk/discover/dino-directory/sarcosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Sarcosaurus.jpg
saurolophus,herbivorous,Late Cretaceous 74-70 million years ago,Mongolia,euornithopod,9.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Brown (1912),osborni,https://www.nhm.ac.uk/discover/dino-directory/saurolophus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/sauro.jpg
sauropelta,herbivorous,Early Cretaceous 121-94 million years ago,USA,armoured dinosaur,6.5m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,Ostrom (1970),edwardsorum,https://www.nhm.ac.uk/discover/dino-directory/sauropelta.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Sauropelta.jpg
saurophaganax,carnivorous,Late Jurassic 154-142 million years ago,USA,large theropod,12.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Allosauridae,Chure (1996),maximus,https://www.nhm.ac.uk/discover/dino-directory/saurophaganax.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Saurophaganax.jpg
saurornithoides,carnivorous,Late Cretaceous 85-80 million years ago,Mongolia,small theropod,3.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,Osborn (1924),mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/saurornithoides.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/saurorn.jpg
scelidosaurus,herbivorous,Early Jurassic 208-194 million years ago,United Kingdom,armoured dinosaur,4.0m,Dinosauria Ornithischia Genasauria Thyreophora Scelidosauridae,Owen (1868),harrisonii,https://www.nhm.ac.uk/discover/dino-directory/scelidosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/scelid.jpg
scutellosaurus,herbivorous,Early Jurassic 205-202 million years ago,USA,armoured dinosaur,1.2m,Dinosauria Ornithischia Genasauria Thyreophora,Colbert (1981),lawleri,https://www.nhm.ac.uk/discover/dino-directory/scutellosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Scutellosaurus.jpg
secernosaurus,herbivorous,Late Cretaceous 71-65 million years ago,Argentina,euornithopod,3.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,Brett-Surman (1979),koerneri,https://www.nhm.ac.uk/discover/dino-directory/secernosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Secernosaurus.jpg
segisaurus,carnivorous,Mid Jurassic 195-180 million years ago,USA,small theropod,1.5m,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea Coelophysidae,Camp (1936),halli,https://www.nhm.ac.uk/discover/dino-directory/segisaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Segisaurus.jpg
segnosaurus,carnivorous,Late Cretaceous 97-88 million years ago,Mongolia,large theropod,4.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,Perle (1979),galbinensis,https://www.nhm.ac.uk/discover/dino-directory/segnosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/segno.jpg
shamosaurus,herbivorous,Early Cretaceous 121-99 million years ago,Mongolia,armoured dinosaur,,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Tumanova (1983),scutatus,https://www.nhm.ac.uk/discover/dino-directory/shamosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Shamosaurus.jpg
shanag,carnivorous,Early Cretaceous 126-142 million years ago,Mongolia,small theropod,0.45m,Dinosauria Saurischia,Turner Hwang and Norell (2007),ashile,https://www.nhm.ac.uk/discover/dino-directory/shanag.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/shanag.jpg
shantungosaurus,herbivorous,Late Cretaceous 78-74 million years ago,China,euornithopod,15.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Hu (1973),giganteus,https://www.nhm.ac.uk/discover/dino-directory/shantungosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/shantung.jpg
shunosaurus,herbivorous,Mid Jurassic 170-160 million years ago,China,sauropod,10.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,Dong Zhou and Zhang (1983),lii,https://www.nhm.ac.uk/discover/dino-directory/shunosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/shuno.jpg
shuvuuia,omnivorous,Late Cretaceous 75-81 million years ago,Mongolia,small theropod,0.6m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Alvarezsauridae,Chiappe Norell and Clark (1998),deserti,https://www.nhm.ac.uk/discover/dino-directory/shuvuuia.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Shuvuuia.jpg
silvisaurus,herbivorous,Early Cretaceous 121-112 million years ago,USA,armoured dinosaur,4.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,Eaton (1960),condrayi,https://www.nhm.ac.uk/discover/dino-directory/silvisaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Silvisaurus.jpg
sinocalliopteryx,carnivorous,Early Cretaceous 125 million years ago,China,small theropod,2.37m,Dinosauria Saurischia,Ji Ji Lü and Yuan (2007),gigas,https://www.nhm.ac.uk/discover/dino-directory/sinocalliopteryx.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/sinocalliopteryx.jpg
