name,diet,period,lived_in,type,length,species
hypsilophodon,herbivorous,Early Cretaceous,United Kingdom,euornithopod,2.3,foxii
iguanodon,herbivorous,Early Cretaceous,United Kingdom,euornithopod,10.0,bernissartensis
indosuchus,carnivorous,Late Cretaceous,India,large theropod,7.0,raptorius
irritator,carnivorous,Early Cretaceous,Brazil,large theropod,6.5,challengeri
janenschia,herbivorous,Late Jurassic,Tanzania,sauropod,20.0,robusta
jaxartosaurus,herbivorous,Late Cretaceous,Kazakhstan,euornithopod,9.0,aralensis
jingshanosaurus,herbivorous,Early Jurassic,China,sauropod,5.0,xinwaensis
jobaria,herbivorous,Early Cretaceous,Niger,sauropod,21.0,tiguidensis
juravenator,carnivorous,Late Jurassic,Germany,small theropod,0.8,starki
kentrosaurus,herbivorous,Late Jurassic,Tanzania,armoured dinosaur,5.0,aethiopicus
khaan,omnivorous,Late Cretaceous,Mongolia,small theropod,1.8,mckennai
kotasaurus,herbivorous,Early Jurassic,India,sauropod,9.0,yamanpalliensis
kritosaurus,herbivorous,Late Cretaceous,USA,euornithopod,8.0,navajovius
lambeosaurus,herbivorous,Late Cretaceous,Canada,euornithopod,9.0,lambei
leaellynasaura,herbivorous,Early Cretaceous,Australia,euornithopod,2.0,amicagraphica
leptoceratops,herbivorous,Late Cretaceous,USA,ceratopsian,3.0,gracilis
ligabuesaurus,herbivorous,Early Cretaceous,Argentina,sauropod,24.0,leanzai
liliensternus,carnivorous,Late Triassic,Germany,small theropod,5.0,liliensterni
lophorhothon,herbivorous,Late Cretaceous,USA,euornithopod,4.5,atopus
lophostropheus,carnivorous,Early Jurassic,France,large theropod,6.2,airelensis
lufengosaurus,herbivorous,Early Jurassic,China,sauropod,6.0,huenei
lurdusaurus,herbivorous,Early Cretaceous,Niger,euornithopod,9.0,arenatus
lycorhinus,herbivorous,Late Triassic,South Africa,euornithopod,1.2,angustidens
magyarosaurus,herbivorous,Late Cretaceous,Romania,sauropod,5.0,dacus
maiasaura,herbivorous,Late Cretaceous,USA,euornithopod,9.0,peeblesorum
majungasaurus,carnivorous,Late Cretaceous,Madagascar,large theropod,6.0,atopus
malawisaurus,herbivorous,Early Cretaceous,Malawi,sauropod,9.0,dixeyi
mamenchisaurus,herbivorous,Late Jurassic,China,sauropod,22.0,constructus
mapusaurus,carnivorous,Late Cretaceous,Argentina,large theropod,13.0,roseae
marshosaurus,carnivorous,Late Jurassic,USA,large theropod,6.0,bicentesimus
masiakasaurus,carnivorous,Late Cretaceous,Madagascar,small theropod,2.0,knopfleri
massospondylus,omnivorous,Early Jurassic,Zimbabwe,sauropod,4.0,carinatus
maxakalisaurus,herbivorous,Late Cretaceous,Brazil,sauropod,13.0,topai
megalosaurus,carnivorous,Mid Jurassic,United Kingdom,large theropod,9.0,bucklandii
melanorosaurus,omnivorous,Late Triassic,South Africa,sauropod,12.0,readi
metriacanthosaurus,carnivorous,Late Jurassic,United Kingdom,large theropod,8.2,parkeri
microceratus,herbivorous,Late Cretaceous,Mongolia,ceratopsian,0.5,gobiensis
micropachycephalosaurus,herbivorous,Late Cretaceous,China,ceratopsian,0.6,hongtuyanensis
microraptor,carnivorous,Early Cretaceous,China,small theropod,0.8,zhaoianus
minmi,herbivorous,Early Cretaceous,Australia,armoured dinosaur,3.0,paravertebra
