name,diet,period,lived_in,type,length,taxonomy,named_by,species,link,image,coordinates,latitude,longitude,modified_period
Tenontosaurus,Herbivorous,Early Cretaceous 120-110 million years ago,USA,Euornithopod,7.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia,Ostrom (1970),Tillettorum,https://www.nhm.ac.uk/discover/dino-directory/tenontosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/tenonto.jpg,United States,39.7837304,-100.445882,Early Cretaceous
Thecodontosaurus,Omnivorous,Late Triassic 227-205 million years ago,United Kingdom,Sauropod,2.5,Dinosauria Saurischia Sauropodomorpha Prosauropoda,Morris (1843),Antiquus,https://www.nhm.ac.uk/discover/dino-directory/thecodontosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Thecodontosaurus.jpg,United Kingdom,54.7023545,-3.2765753,Late Triassic
Thescelosaurus,Herbivorous,Late Cretaceous 76-67 million years ago,USA,Euornithopod,3.5,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Gilmore (1913),Neglectus,https://www.nhm.ac.uk/discover/dino-directory/thescelosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/thescelo.jpg,United States,39.7837304,-100.445882,Late Cretaceous
Torosaurus,Herbivorous,Late Cretaceous 70-65 million years ago,USA,Ceratopsian,7.5,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,Marsh (1891),Latus,https://www.nhm.ac.uk/discover/dino-directory/torosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/toro.jpg,United States,39.7837304,-100.445882,Late Cretaceous
Torvosaurus,Carnivorous,Late Jurassic 155-144 million years ago,USA,Large Theropod,10.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Megalosaurinae,Galton and Jensen (1979),Tanneri,https://www.nhm.ac.uk/discover/dino-directory/torvosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/torvo.jpg,United States,39.7837304,-100.445882,Late Jurassic
Triceratops,Herbivorous,Late Cretaceous 68-66 million years ago,USA,Ceratopsian,9.0,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,Marsh (1889),Horridus,https://www.nhm.ac.uk/discover/dino-directory/triceratops.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/triceratops.jpg,United States,39.7837304,-100.445882,Late Cretaceous
Troodon,Carnivorous,Late Cretaceous 74-65 million years ago,USA,Small Theropod,2.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,Leidy (1856),Formosus,https://www.nhm.ac.uk/discover/dino-directory/troodon.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/troo.jpg,United States,39.7837304,-100.445882,Late Cretaceous
Tsintaosaurus,Herbivorous,Late Cretaceous 84-71 million years ago,China,Euornithopod,12.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,Young (1958),Spinorhinus,https://www.nhm.ac.uk/discover/dino-directory/tsintaosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Tsintaosaurus.jpg,中国,35.000074,104.999927,Late Cretaceous
Tuojiangosaurus,Herbivorous,Late Jurassic 157-154 million years ago,China,Armoured Dinosaur,7.0,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,Dong Li Zhou and Zhang (1973),Multispinus,https://www.nhm.ac.uk/discover/dino-directory/tuojiangosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/tuojiang.jpg,中国,35.000074,104.999927,Late Jurassic
Tylocephale,Herbivorous,Late Cretaceous 75-72 million years ago,Mongolia,Euornithopod,1.4,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,Maryańska and Osmólska (1974),Gilmorei,https://www.nhm.ac.uk/discover/dino-directory/tylocephale.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Tylocephale.jpg,"Mongolia, Markham, Whitchurch-Stouffville, York Region, Golden Horseshoe, Ontario, L4A 1S5, Canada",43.9382593,-79.2235563,Late Cretaceous
