name,diet,period,lived_in,type,length,taxonomy,named_by,species,link,image,coordinates,latitude,longitude,modified_period
Carnotaurus,Carnivorous,Late Cretaceous 70 million years ago,Argentina,Large Theropod,7.6,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae,Bonaparte (1985),Sastrei,https://www.nhm.ac.uk/discover/dino-directory/carnotaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/carnotaurus.jpg,Argentina,-34.9964963,-64.9672817,Late Cretaceous
Caudipteryx,Omnivorous,Early Cretaceous 125-122 million years ago,China,Small Theropod,1.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caudipterygidae,Ji Currie Norell and Ji. (1998),Zoui,https://www.nhm.ac.uk/discover/dino-directory/caudipteryx.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/caudip.jpg,中国,35.000074,104.999927,Early Cretaceous
Cedarpelta,Herbivorous,Early Cretaceous 142-127 million years ago,USA,Armoured Dinosaur,10.0,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Carpenter Kirkland Burge and Bird (2001),Bilbeyhallorum,https://www.nhm.ac.uk/discover/dino-directory/cedarpelta.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Cedarpelta.jpg,United States,39.7837304,-100.445882,Early Cretaceous
Ceratosaurus,Carnivorous,Late Jurassic 153-148 million years ago,USA,Large Theropod,6.0,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria,Marsh (1884),Nasicornis,https://www.nhm.ac.uk/discover/dino-directory/ceratosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/cerato.jpg,United States,39.7837304,-100.445882,Late Jurassic
Cetiosauriscus,Herbivorous,Mid Jurassic 175-160 million years ago,United Kingdom,Sauropod,15.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea,von Huene (1927),Stewarti,https://www.nhm.ac.uk/discover/dino-directory/cetiosauriscus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/cetios.jpg,United Kingdom,54.7023545,-3.2765753,Mid Jurassic
Cetiosaurus,Herbivorous,Mid Jurassic 170-160 million years ago,United Kingdom,Sauropod,18.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Cetiosauridae,Phillips (1871),Oxoniensis,https://www.nhm.ac.uk/discover/dino-directory/cetiosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/cetio.jpg,United Kingdom,54.7023545,-3.2765753,Mid Jurassic
Chaoyangsaurus,Herbivorous,Late Jurassic 152-145 million years ago,China,Ceratopsian,1.1,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia,Zhao Cheng and Xu (1999),Youngi,https://www.nhm.ac.uk/discover/dino-directory/chaoyangsaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Chaoyangsaurus.jpg,中国,35.000074,104.999927,Late Jurassic
Chindesaurus,Carnivorous,Late Triassic 227-210 million years ago,USA,Small Theropod,4.0,Dinosauria Saurischia Theropoda Herrerasauridae,Long and Murry (1995),Bryansmalli,https://www.nhm.ac.uk/discover/dino-directory/chindesaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Chindesaurus.jpg,United States,39.7837304,-100.445882,Late Triassic
Chinshakiangosaurus,Herbivorous,Late Jurassic 159-142 million years ago,China,Sauropod,11.0,Dinosauria Saurischia Sauropodomorpha Sauropoda,Yeh (1975),Zhongheensis,https://www.nhm.ac.uk/discover/dino-directory/chinshakiangosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Chinshakiangosaurus.jpg,中国,35.000074,104.999927,Late Jurassic
Chirostenotes,Omnivorous,Late Jurassic 79-67 million years ago,Canada,Small Theropod,1.7,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Caenagnathidae,Gilmore (1924),Pergracilis,https://www.nhm.ac.uk/discover/dino-directory/chirostenotes.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Chirostenotes.jpg,Canada,61.0666922,-107.991707,Late Jurassic
Chubutisaurus,Herbivorous,Early Cretaceous 112-99 million years ago,Argentina,Sauropod,23.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Corro (1974),Insignis,https://www.nhm.ac.uk/discover/dino-directory/chubutisaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Chubutisaurus.jpg,Argentina,-34.9964963,-64.9672817,Early Cretaceous
Chungkingosaurus,Herbivorous,Late Jurassic 159-142 million years ago,China,Armoured Dinosaur,4.0,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,Dong Zhou and Zhang (1983),Jiangbeiensis,https://www.nhm.ac.uk/discover/dino-directory/chungkingosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Chungkingosaurus.jpg,中国,35.000074,104.999927,Late Jurassic
Citipati,Omnivorous,Late Cretaceous 81-75 million years ago,Mongolia,Small Theropod,2.1,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Oviraptorinae,Clark Norell and Barsbold (2001),Osmolskae,https://www.nhm.ac.uk/discover/dino-directory/citipati.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Citipati.jpg,"Mongolia, Markham, Whitchurch-Stouffville, York Region, Golden Horseshoe, Ontario, L4A 1S5, Canada",43.9382593,-79.2235563,Late Cretaceous
Coelurus,Carnivorous,Late Jurassic 155-145 million years ago,USA,Small Theropod,1.8,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,Marsh (1879),Fragilis,https://www.nhm.ac.uk/discover/dino-directory/coelurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/coelurus.jpg,United States,39.7837304,-100.445882,Late Jurassic
Coloradisaurus,Omnivorous,Late Triassic 221-210 million years ago,Argentina,Sauropod,4.0,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,Bonaparte (1978),Brevis,https://www.nhm.ac.uk/discover/dino-directory/coloradisaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Coloradisaurus.jpg,Argentina,-34.9964963,-64.9672817,Late Triassic
Compsognathus,Carnivorous,Late Jurassic 145-140 million years ago,Germany,Small Theropod,0.65,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Compsognathidae,Wagner (1859),Longipes,https://www.nhm.ac.uk/discover/dino-directory/compsognathus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Compsognathus.jpg,Deutschland,51.1638175,10.4478313,Late Jurassic
Conchoraptor,Carnivorous,Late Cretaceous 81-76 million years ago,Mongolia,Small Theropod,1.5,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Ingeniinae,Barsbold (1986),Gracilis,https://www.nhm.ac.uk/discover/dino-directory/conchoraptor.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Conchoraptor.jpg,"Mongolia, Markham, Whitchurch-Stouffville, York Region, Golden Horseshoe, Ontario, L4A 1S5, Canada",43.9382593,-79.2235563,Late Cretaceous
Confuciusornis,Carnivorous,Early Cretaceous 127-121 million years ago,China,Small Theropod,0.25,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Avialae Ornithurae Avibrevicauda Pygostylia Confuciusornithidae,Hou Zhou Gu and Zhang (1995),Sanctus,https://www.nhm.ac.uk/discover/dino-directory/confuciusornis.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Confuciusornis.jpg,中国,35.000074,104.999927,Early Cretaceous
Corythosaurus,Herbivorous,Late Cretaceous 76-74 million years ago,USA,Euornithopod,10.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,Brown (1914),Casuarius,https://www.nhm.ac.uk/discover/dino-directory/corythosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/coryth.jpg,United States,39.7837304,-100.445882,Late Cretaceous
Cryolophosaurus,Carnivorous,Early Jurassic 170 million years ago,Antarctica,Large Theropod,8.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria,Hammer and Hickerson (1994),Elliotti,https://www.nhm.ac.uk/discover/dino-directory/cryolophosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/cryolopho.jpg,Antarctica,-79.4063075,0.3149312,Early Jurassic
Dacentrurus,Herbivorous,Late Jurassic 154-150 million years ago,United Kingdom,Armoured Dinosaur,6.0,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae,Lucas (1902),Armatus,https://www.nhm.ac.uk/discover/dino-directory/dacentrurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/dacentr.jpg,United Kingdom,54.7023545,-3.2765753,Late Jurassic
Daspletosaurus,Carnivorous,Late Cretaceous 76-74 million years ago,Canada,Large Theropod,9.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Tyrannosaurinae,Russell (1970),Torosus,https://www.nhm.ac.uk/discover/dino-directory/daspletosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/daspelet.jpg,Canada,61.0666922,-107.991707,Late Cretaceous
Datousaurus,Herbivorous,Mid Jurassic 170 million years ago,China,Sauropod,15.0,Dinosauria Saurischia Sauropodomorpha Sauropoda,Dong and Tang (1984),Bashanensis,https://www.nhm.ac.uk/discover/dino-directory/datousaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/datou.jpg,中国,35.000074,104.999927,Mid Jurassic
Deinocheirus,Omnivorous,Late Cretaceous 70-66 million years ago,Mongolia,Large Theropod,10.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria,Osmólska and Roniewicz (1970),Mirificus,https://www.nhm.ac.uk/discover/dino-directory/deinocheirus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/deinoc.jpg,"Mongolia, Markham, Whitchurch-Stouffville, York Region, Golden Horseshoe, Ontario, L4A 1S5, Canada",43.9382593,-79.2235563,Late Cretaceous
Deinonychus,Carnivorous,Early Cretaceous 120-110 million years ago,USA,Small Theropod,3.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Ostrom (1969),Antirrhopus,https://www.nhm.ac.uk/discover/dino-directory/deinonychus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/deinonychus.jpg,United States,39.7837304,-100.445882,Early Cretaceous
Deltadromeus,Carnivorous,Late Cretaceous 99-94 million years ago,Morocco,Large Theropod,8.1,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,Sereno Duthiel Iarochene Larsson Lyon Magwene Sidor Varricchio and Wilson (1996),Agilis,https://www.nhm.ac.uk/discover/dino-directory/deltadromeus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Deltadromeus.jpg,"Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب, Maroc ⵍⵎⵖⵔⵉⴱ المغرب",28.3347722,-10.371337908392649,Late Cretaceous
Dicraeosaurus,Herbivorous,Late Jurassic 150-135 million years ago,Tanzania,Sauropod,20.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Dicraeosauridae,Janensch (1914),Hansemanni,https://www.nhm.ac.uk/discover/dino-directory/dicraeosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Dicraeosaurus.jpg,Tanzania,-6.5247123,35.7878438,Late Jurassic
Diplodocus,Herbivorous,Late Jurassic 155-145 million years ago,USA,Sauropod,26.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae,Marsh (1878),Longus,https://www.nhm.ac.uk/discover/dino-directory/diplodocus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/diplodocus.jpg,United States,39.7837304,-100.445882,Late Jurassic
Dromaeosaurus,Carnivorous,Late Cretaceous 76-74 million years ago,USA,Small Theropod,1.8,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Matthew and Brown (1922),Albertensis,https://www.nhm.ac.uk/discover/dino-directory/dromaeosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/droma.jpg,United States,39.7837304,-100.445882,Late Cretaceous
Dromiceiomimus,Omnivorous,Late Cretaceous 74-70 million years ago,Canada,Large Theropod,3.5,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,Parks (1926),Brevitertius,https://www.nhm.ac.uk/discover/dino-directory/dromiceiomimus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/dromic.jpg,Canada,61.0666922,-107.991707,Late Cretaceous
Dryosaurus,Herbivorous,Late Jurassic 155-140 million years ago,USA,Euornithopod,4.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Dryosauridae,Marsh (1894),Altus,https://www.nhm.ac.uk/discover/dino-directory/dryosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/dryo.jpg,United States,39.7837304,-100.445882,Late Jurassic
Dryptosaurus,Carnivorous,Late Cretaceous 84-65 million years ago,USA,Large Theropod,6.4,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,Cope (1866),Aquilunguis,https://www.nhm.ac.uk/discover/dino-directory/dryptosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/drypto.jpg,United States,39.7837304,-100.445882,Late Cretaceous
Edmontonia,Herbivorous,Late Cretaceous 76-74 million years ago,Canada,Armoured Dinosaur,4.0,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,Sternberg (1928),Longiceps,https://www.nhm.ac.uk/discover/dino-directory/edmontonia.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Edmontonia.jpg,Canada,61.0666922,-107.991707,Late Cretaceous
Edmontosaurus,Herbivorous,Late Cretaceous 76-65 million years ago,Canada,Euornithopod,13.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Lambe (1917),Regalis,https://www.nhm.ac.uk/discover/dino-directory/edmontosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/edmonto.jpg,Canada,61.0666922,-107.991707,Late Cretaceous
Einiosaurus,Herbivorous,Late Cretaceous 74 million years ago,USA,Ceratopsian,6.0,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,Sampson  (1995),Procurvicornis,https://www.nhm.ac.uk/discover/dino-directory/einiosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Einiosaurus.jpg,United States,39.7837304,-100.445882,Late Cretaceous
Elaphrosaurus,Carnivorous,Late Jurassic 154-151 million years ago,Tanzania,Large Theropod,6.2,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria,Janensch (1920),Bambergi,https://www.nhm.ac.uk/discover/dino-directory/elaphrosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Elaphrosaurus.jpg,Tanzania,-6.5247123,35.7878438,Late Jurassic
Emausaurus,Herbivorous,Mid Jurassic 190-180 million years ago,Germany,Armoured Dinosaur,2.0,Dinosauria Ornithischia Genasauria Thyreophora,Haubold (1991),Ernsti,https://www.nhm.ac.uk/discover/dino-directory/emausaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Emausaurus.jpg,Deutschland,51.1638175,10.4478313,Mid Jurassic
Eoraptor,Carnivorous,Late Triassic 228 million years ago,Argentina,Small Theropod,1.0,Dinosauria Saurischia Theropoda,Sereno Forster Rogers and Monetta (1993),Lunensis,https://www.nhm.ac.uk/discover/dino-directory/eoraptor.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/eor.jpg,Argentina,-34.9964963,-64.9672817,Late Triassic
Eotyrannus,Carnivorous,Early Cretaceous 127-121 million years ago,United Kingdom,Large Theropod,5.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,Hutt Naish Martill Barker and Newberry (2001),Lengi,https://www.nhm.ac.uk/discover/dino-directory/eotyrannus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Eotyrannus.jpg,United Kingdom,54.7023545,-3.2765753,Early Cretaceous
Erketu,Herbivorous,Early Cretaceous,Mongolia,Sauropod,15.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Ksepka and Norell (2006),Ellisoni,https://www.nhm.ac.uk/discover/dino-directory/erketu.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Erketu.jpg,"Mongolia, Markham, Whitchurch-Stouffville, York Region, Golden Horseshoe, Ontario, L4A 1S5, Canada",43.9382593,-79.2235563,Early Cretaceous
Erlikosaurus,Omnivorous,Late Cretaceous 99-89 million years ago,Mongolia,Small Theropod,3.4,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,Perle vide Barsbold and Perle (1980),Andrewsi,https://www.nhm.ac.uk/discover/dino-directory/erlikosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Erlikosaurus.jpg,"Mongolia, Markham, Whitchurch-Stouffville, York Region, Golden Horseshoe, Ontario, L4A 1S5, Canada",43.9382593,-79.2235563,Late Cretaceous
Euhelopus,Herbivorous,Late Jurassic 154-142 million years ago,China,Sauropod,10.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,Wiman (1929),Zdanskyi,https://www.nhm.ac.uk/discover/dino-directory/euhelopus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Euhelopus.jpg,中国,35.000074,104.999927,Late Jurassic
Europasaurus,Herbivorous,Late Jurassic 154-151 million years ago,Germany,Sauropod,6.2,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria,Sander Mateus Laven and Knötschke (2006),Holgeri,https://www.nhm.ac.uk/discover/dino-directory/europasaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Europasaurus.jpg,Deutschland,51.1638175,10.4478313,Late Jurassic
Eustreptospondylus,Carnivorous,Mid Jurassic 165 million years ago,United Kingdom,Large Theropod,7.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae,Walker (1964),Oxoniensis,https://www.nhm.ac.uk/discover/dino-directory/eustreptospondylus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Eustreptospondylus.jpg,United Kingdom,54.7023545,-3.2765753,Mid Jurassic
Fukuiraptor,Carnivorous,Early Cretaceous 121-99 million years ago,Japan,Large Theropod,4.2,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria,Azuma and Currie (2000),Kitadaniensis,https://www.nhm.ac.uk/discover/dino-directory/fukuiraptor.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Fukuiraptor.jpg,日本,36.5748441,139.2394179,Early Cretaceous
Fukuisaurus,Herbivorous,Early Cretaceous 121-99 million years ago,Japan,Euornithopod,4.7,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Kobayashi and Azuma (2003),Tetoriensius,https://www.nhm.ac.uk/discover/dino-directory/fukuisaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Fukuisaurus.jpg,日本,36.5748441,139.2394179,Early Cretaceous
Gallimimus,Omnivorous,Late Cretaceous 74-70 million years ago,Mongolia,Large Theropod,6.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,Osmólska Roniewicz and Barsbold (1972),Bullatus,https://www.nhm.ac.uk/discover/dino-directory/gallimimus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/gallim.jpg,"Mongolia, Markham, Whitchurch-Stouffville, York Region, Golden Horseshoe, Ontario, L4A 1S5, Canada",43.9382593,-79.2235563,Late Cretaceous
Gargoyleosaurus,Herbivorous,Late Jurassic 154-142 million years ago,USA,Armoured Dinosaur,4.0,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,Carpenter Miles and Cloward (1998),Parkpinorum,https://www.nhm.ac.uk/discover/dino-directory/gargoyleosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Gargoyleosaurus.jpg,United States,39.7837304,-100.445882,Late Jurassic
Garudimimus,Omnivorous,Late Cretaceous 99-89 million years ago,Mongolia,Large Theropod,4.7,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria,Barsbold (1981),Brevipes,https://www.nhm.ac.uk/discover/dino-directory/garudimimus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Garudimimus.jpg,"Mongolia, Markham, Whitchurch-Stouffville, York Region, Golden Horseshoe, Ontario, L4A 1S5, Canada",43.9382593,-79.2235563,Late Cretaceous
Gasosaurus,Carnivorous,Mid Jurassic 170-160 million years ago,China,Small Theropod,4.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda,Dong and Tang (1985),Constructus,https://www.nhm.ac.uk/discover/dino-directory/gasosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/gaso.jpg,中国,35.000074,104.999927,Mid Jurassic
Gasparinisaura,Herbivorous,Late Cretaceous 86-71 million years ago,Argentina,Euornithopod,0.8,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Coria and Salgado (1996),Cincosaltensis,https://www.nhm.ac.uk/discover/dino-directory/gasparinisaura.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Gasparinisaura.jpg,Argentina,-34.9964963,-64.9672817,Late Cretaceous
Gastonia,Herbivorous,Early Cretaceous 142-127 million years ago,USA,Armoured Dinosaur,4.6,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria,Kirkland (1998),Burgei,https://www.nhm.ac.uk/discover/dino-directory/gastonia.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Gastonia.jpg,United States,39.7837304,-100.445882,Early Cretaceous
Giganotosaurus,Carnivorous,Early Cretaceous 112-90 million years ago,Argentina,Large Theropod,12.5,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,Coria and Salgado (1995),Carolinii,https://www.nhm.ac.uk/discover/dino-directory/giganotosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/giganoto.jpg,Argentina,-34.9964963,-64.9672817,Early Cretaceous
Gilmoreosaurus,Herbivorous,Late Cretaceous 76-70 million years ago,China,Euornithopod,6.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,Brett-Surman (1979),Mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/gilmoreosaurus.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/gilmore.jpg,中国,35.000074,104.999927,Late Cretaceous
Giraffatitan,Herbivorous,Late Jurassic 154-142 million years ago,Tanzania,Sauropod,23.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Brachiosauridae,Janensch (1914),Brancai,https://www.nhm.ac.uk/discover/dino-directory/giraffatitan.html,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Giraffatitan.jpg,Tanzania,-6.5247123,35.7878438,Late Jurassic
